Date,Close,High,Low,Open,Volume,Symbol
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
2021-09-13,3466.19384765625,3472.54853292922,3395.569166011557,3395.569166011557,1691473,TCS
2021-09-14,3502.744873046875,3512.2997866196183,3447.8497841190915,3470.3396360829424,1991188,TCS
2021-09-15,3564.626708984375,3587.5672646909584,3484.8078003254386,3499.3204091972702,2461369,TCS
2021-09-16,3518.429931640625,3589.14462251399,3508.3343092331525,3542.49723525585,2946666,TCS
2021-09-17,3450.418701171875,3556.0174585879063,3429.821655241314,3533.4824937045864,6477148,TCS
2021-09-20,3446.497802734375,3489.314239410165,3432.3910016252494,3433.4275220649233,2002008,TCS
2021-09-21,3482.057861328125,3489.809977723796,3444.830053172966,3477.5959820366297,1568129,TCS
2021-09-22,3481.337158203125,3512.61587145685,3472.5936341812035,3481.6527357986406,1744067,TCS
2021-09-23,3487.736572265625,3496.525208714443,3456.8636698684945,3488.4126212232263,2003869,TCS
2021-09-24,3489.58447265625,3555.4765788128857,3474.891631342805,3506.4405826001325,2320754,TCS
2021-09-27,3458.621826171875,3519.060655261115,3427.929155285406,3515.4550603274456,1673362,TCS
2021-09-28,3406.52099609375,3470.385185522073,3381.3720590103053,3470.385185522073,2253075,TCS
2021-09-29,3418.013427734375,3430.72323663298,3355.1408723599266,3389.078663323295,2489161,TCS
2021-09-30,3403.276123046875,3429.822272442841,3380.3355686810723,3429.822272442841,2252412,TCS
2021-10-01,3362.39794921875,3434.3296215257396,3357.7107192082362,3408.8651039908045,1578374,TCS
2021-10-04,3401.24755859375,3410.576902548985,3341.8903696641178,3357.529724216113,1356860,TCS
2021-10-05,3455.331787109375,3461.3711145717107,3372.67356778803,3383.8508239849484,1877966,TCS
2021-10-06,3435.139892578125,3477.100042104122,3420.8077426322498,3457.765085833283,1678154,TCS
2021-10-07,3509.055419921875,3514.5540408162447,3443.3886471477763,3452.3575214994144,1647233,TCS
2021-10-08,3547.58935546875,3596.490230117069,3515.454583012777,3537.9895482885004,2934339,TCS
2021-10-11,3322.19482421875,3387.005296624625,3299.118931642349,3384.7518000866175,11845402,TCS
2021-10-12,3292.6748046875,3341.485463312105,3272.618680716986,3340.5840644819696,5752877,TCS
2021-10-13,3294.79248046875,3313.045804122932,3285.598257752844,3290.105251247704,3545655,TCS
2021-10-14,3261.6025390625,3314.4807432469656,3258.6673721917773,3273.839971190804,6442299,TCS
2021-10-18,3293.8447265625,3298.857133388152,3252.57180189469,3254.378058733459,3590107,TCS
2021-10-19,3282.103759765625,3332.6339666446383,3274.020805242482,3313.577870525891,3135441,TCS
2021-10-20,3259.2548828125,3278.3559595043926,3231.664267209516,3262.0996489613954,2933693,TCS
2021-10-21,3190.30078125,3257.9902045417994,3171.1093045050425,3254.9648569726637,4871211,TCS
2021-10-22,3159.91064453125,3216.5819472192843,3147.40222896892,3215.1368536956547,2691670,TCS
2021-10-25,3154.58203125,3174.089691219989,3115.7927138810505,3163.6585149928464,2595594,TCS
2021-10-26,3145.234375,3187.139435516831,3138.3705124457315,3155.9815124436286,3878763,TCS
2021-10-27,3151.69189453125,3171.109152424343,3145.5957786810927,3145.5957786810927,2510813,TCS
2021-10-28,3090.188720703125,3177.2052166959043,3084.1830059739946,3177.2052166959043,2424942,TCS
2021-10-29,3068.60400390625,3125.7268655785538,3057.947046484346,3070.6812429742113,3960501,TCS
2021-11-01,3139.634765625,3149.208012678121,3082.3313258101152,3104.90953066155,2020718,TCS
2021-11-02,3146.679443359375,3173.231546531015,3133.629284083989,3155.5301444165884,3087414,TCS
2021-11-03,3153.949951171875,3178.921361622724,3130.2880327183734,3164.7422907566815,1537639,TCS
2021-11-04,3168.760986328125,3172.9154646580055,3165.4646562659386,3172.6444820729603,328991,TCS
2021-11-08,3163.433349609375,3204.299914185729,3143.970886359471,3204.299914185729,2526082,TCS
2021-11-09,3166.0966796875,3192.5583816589988,3157.336379711417,3168.1739187722114,1782692,TCS
2021-11-10,3146.7705078125,3178.7411668010163,3143.0675929650324,3159.143323500583,1516489,TCS
2021-11-11,3150.291748046875,3170.0251874437126,3103.1485000315306,3142.8861408934013,1284514,TCS
2021-11-12,3184.475341796875,3191.790548171001,3148.034029493855,3166.367576674197,1747259,TCS
2021-11-15,3209.0859375,3223.8069733697826,3186.236746664237,3186.236746664237,1809157,TCS
